"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2023","74.15","76.64","76.64","74.15","2.23K","-0.77%"
"01/04/2023","74.72","76.74","76.74","74.72","3.25K","-2.62%"
"01/03/2023","76.74","74.92","76.74","74.82","3.77K","-0.25%"
"01/02/2023","76.93","77.41","77.41","76.45","2.21K","0.50%"
"12/30/2022","76.55","75.49","76.74","75.49","11.48K","1.01%"
"12/29/2022","75.78","74.82","75.78","74.24","4.15K","1.28%"
"12/28/2022","74.82","74.82","74.82","74.72","10.60K","1.30%"
"12/27/2022","73.86","73.57","75.20","73.57","7.61K","-0.65%"
"12/23/2022","74.34","75.30","75.30","73.57","2.59K","-1.27%"
"12/22/2022","75.30","74.92","75.30","73.86","2.44K","0.51%"
"12/21/2022","74.92","75.97","76.35","74.92","3.17K","-1.51%"
"12/20/2022","76.07","77.70","77.70","76.07","90.42K","-0.87%"
"12/19/2022","76.74","76.74","76.74","76.74","7.20K","0.00%"
"12/16/2022","76.74","78.66","79.14","76.74","1.94K","-3.03%"
"12/15/2022","79.14","78.66","79.14","76.93","9.54K","1.85%"
"12/14/2022","77.70","76.83","78.56","76.74","8.28K","0.12%"
"12/13/2022","77.60","76.64","77.60","76.26","565.92K","1.25%"
"12/12/2022","76.64","74.92","76.74","74.92","11.75K","0.00%"
"12/09/2022","76.64","76.74","76.74","75.30","16.99K","1.14%"
"12/08/2022","75.78","77.22","77.70","75.78","571.35K","-0.63%"
"12/06/2022","76.26","76.74","76.74","75.88","1.47K","0.63%"
"12/05/2022","75.78","76.64","77.70","75.78","10.90K","-1.13%"
"12/02/2022","76.64","72.90","76.74","72.90","106.13K","2.44%"
"12/01/2022","74.82","73.86","74.82","71.94","69.63K","1.43%"
"11/30/2022","73.77","71.94","74.82","71.94","10.89K","2.53%"
"11/29/2022","71.94","73.77","73.77","71.94","7.08K","-0.13%"
"11/28/2022","72.04","72.90","73.77","71.94","4.01K","-1.70%"
"11/25/2022","73.29","72.90","73.29","71.94","358.15K","1.87%"
"11/24/2022","71.94","74.82","74.82","71.65","844.76K","-5.66%"
"11/23/2022","76.26","69.16","76.55","69.16","407.25K","10.11%"
"11/22/2022","69.26","69.16","71.27","69.06","217.97K","0.28%"
"11/21/2022","69.06","69.93","69.93","69.06","165.93K","-1.37%"
"11/18/2022","70.02","71.27","71.27","70.02","3.73K","-0.14%"
"11/17/2022","70.12","71.94","71.94","70.02","15.38K","-3.82%"
"11/16/2022","72.90","75.78","75.78","70.98","6.15K","-1.30%"
"11/15/2022","73.86","70.98","76.74","69.06","966.58K","4.05%"
"11/14/2022","70.98","70.98","70.98","70.79","7.48K","0.95%"
"11/11/2022","70.31","70.98","70.98","70.31","7.32K","0.00%"
"11/10/2022","70.31","70.98","70.98","70.12","2.99K","1.10%"
"11/09/2022","69.54","70.02","70.50","69.54","37.75K","-0.68%"
"11/08/2022","70.02","72.52","73.86","69.83","11.45K","-3.95%"
"11/04/2022","72.90","74.34","74.82","71.94","79.70K","0.13%"
"11/03/2022","72.81","73.77","74.34","72.81","20.46K","-0.13%"
"11/02/2022","72.90","73.86","73.86","72.90","39.18K","-1.30%"
"11/01/2022","73.86","74.34","74.34","73.86","5.29K","-0.13%"
"10/31/2022","73.96","74.05","74.34","73.86","2.93K","-0.26%"
"10/28/2022","74.15","74.44","74.44","73.96","2.97K","-0.77%"
"10/27/2022","74.72","74.34","74.82","74.05","18.62K","0.52%"
"10/26/2022","74.34","74.34","74.82","74.05","4.53K","0.39%"
"10/25/2022","74.05","74.34","74.82","73.86","2.54K","0.26%"
"10/21/2022","73.86","74.63","74.63","73.86","14.32K","-1.28%"
"10/20/2022","74.82","75.59","75.59","74.44","5.03K","0.13%"
"10/19/2022","74.72","75.59","75.59","74.63","2.83K","-0.13%"
"10/18/2022","74.82","75.30","75.59","74.63","26.96K","-1.02%"
"10/17/2022","75.59","75.30","78.66","75.11","11.91K","0.38%"
"10/14/2022","75.30","75.40","77.70","74.82","32.05K","0.13%"
"10/13/2022","75.20","75.49","75.49","74.82","36.25K","-0.76%"
"10/12/2022","75.78","75.78","77.70","75.11","13.95K","0.77%"
"10/11/2022","75.20","76.74","76.74","75.20","114.14K","-2.00%"
"10/07/2022","76.74","77.70","80.00","76.55","41.13K","-1.23%"
"10/06/2022","77.70","78.18","79.90","77.70","12.03K","-0.74%"
"10/05/2022","78.27","76.93","80.10","76.93","7.19K","1.37%"
"10/04/2022","77.22","79.62","79.62","77.22","8.00K","-1.83%"
"10/03/2022","78.66","80.86","80.86","78.66","29.90K","-3.19%"
"09/30/2022","81.25","82.01","82.01","80.48","7.62K","0.71%"
"09/29/2022","80.67","80.58","82.97","79.62","7.00K","-1.06%"
"09/28/2022","81.53","82.01","82.49","80.58","64.75K","0.00%"
"09/27/2022","81.53","78.66","81.53","78.66","129.70K","3.03%"
"09/26/2022","79.14","81.53","81.53","77.79","4.53K","0.61%"
"09/23/2022","78.66","81.06","84.12","77.70","56.99K","-2.96%"
"09/22/2022","81.06","79.62","81.44","79.33","12.26K","1.81%"
"09/21/2022","79.62","80.10","81.53","79.62","6.95K","-0.84%"
"09/20/2022","80.29","82.01","83.36","80.10","11.64K","-2.67%"
"09/19/2022","82.49","84.89","84.89","81.82","120.33K","-2.71%"
"09/16/2022","84.80","85.37","85.37","81.53","48.30K","0.23%"
"09/15/2022","84.60","83.45","91.13","82.69","259.47K","3.76%"
"09/14/2022","81.53","78.66","84.41","78.37","373.19K","5.59%"
"09/13/2022","77.22","76.83","77.22","76.74","39.30K","0.62%"
"09/12/2022","76.74","76.64","77.22","75.78","59.18K","0.25%"
"09/09/2022","76.55","75.68","76.74","75.59","10.92K","1.01%"
"09/08/2022","75.78","76.74","76.74","75.30","76.62K","-1.25%"
"09/07/2022","76.74","76.64","77.22","76.45","12.15K","0.00%"
"09/06/2022","76.74","78.66","78.66","76.74","26.06K","-2.44%"
"09/05/2022","78.66","76.45","78.66","76.45","108.41K","2.50%"
"09/02/2022","76.74","77.22","79.14","76.74","32.95K","-2.32%"
"09/01/2022","78.56","77.99","78.66","75.78","151.24K","3.67%"
"08/31/2022","75.78","76.74","76.74","75.78","26.98K","-2.47%"
"08/30/2022","77.70","77.70","77.70","77.51","1.79K","0.25%"
"08/29/2022","77.51","79.52","79.52","77.22","4.32K","-0.25%"
"08/26/2022","77.70","79.62","79.62","77.70","7.43K","1.25%"
"08/25/2022","76.74","78.66","79.23","76.74","2.89K","-3.50%"
"08/24/2022","79.52","80.00","80.00","76.74","13.00K","2.35%"
"08/23/2022","77.70","80.19","80.19","77.70","2.38K","-2.41%"
"08/22/2022","79.62","75.78","79.62","73.86","139.43K","5.06%"
"08/19/2022","75.78","76.26","76.26","74.82","45.60K","0.00%"
"08/18/2022","75.78","79.33","79.33","75.78","802.30K","-4.82%"
"08/17/2022","79.62","79.71","80.58","78.66","11.67K","0.00%"
"08/16/2022","79.62","81.73","82.49","79.62","30.93K","-1.78%"
"08/15/2022","81.06","83.36","83.36","80.48","80.92K","-2.87%"
"08/12/2022","83.45","87.29","88.25","83.36","17.14K","-3.33%"
"08/10/2022","86.33","85.37","87.19","84.89","19.12K","1.12%"
"08/09/2022","85.37","89.11","89.11","84.51","50.85K","-1.22%"
"08/08/2022","86.43","86.33","86.43","84.89","45.48K","0.11%"
"08/05/2022","86.33","82.97","89.21","82.97","35.29K","4.05%"
"08/04/2022","82.97","82.49","87.77","82.49","6.29K","0.23%"
"08/03/2022","82.78","82.49","83.45","82.49","115.75K","0.35%"
"08/02/2022","82.49","79.71","82.49","79.71","584.27K","3.61%"
"08/01/2022","79.62","78.75","79.71","78.66","19.47K","0.00%"
"07/29/2022","79.62","79.14","79.62","78.66","5.90K","0.73%"
"07/28/2022","79.04","79.62","79.62","78.85","0.76K","-1.90%"
"07/27/2022","80.58","78.75","80.96","78.66","27.54K","1.20%"
"07/26/2022","79.62","77.79","80.48","77.79","18.68K","1.84%"
"07/25/2022","78.18","78.66","78.66","77.70","32.98K","-0.49%"
"07/22/2022","78.56","78.66","78.66","76.64","207.06K","-0.12%"
"07/21/2022","78.66","81.06","81.06","78.66","15.28K","-2.26%"
"07/20/2022","80.48","79.62","80.48","77.22","29.71K","4.88%"
"07/19/2022","76.74","79.62","81.53","76.74","6.94K","-3.61%"
"07/18/2022","79.62","78.08","79.62","76.26","21.57K","2.47%"
